"""Ano de exibição""";"""Distribuidora""";"""Número de Registro Ancine""";"""Origem da empresa distribuidora""";"""Público""";"""Público Filmes Brasileiros""";"""Renda (R$)""";"""Renda Filmes Brasileiros (R$)""";"""Títulos Exibidos""";"""Títulos Brasileiros  Exibidos""";"""Títulos Lançados""";"""Títulos Brasileiros Lançados"""
"""2009""";"""Ab Filmes""";"""136""";"""Distribuição Nacional""";"""33255""";"""0""";"""307288,57""";"""0""";"""1""";"""0""";"""1""";"""0"""
"""2009""";"""Business Telecom""";"""17673""";"""Distribuição Nacional""";"""546""";"""546""";"""2529,5""";"""2530""";"""1""";"""1""";"""1""";"""1"""
"""2009""";"""Califórnia """;"""532""";"""Distribuição Nacional""";"""211136""";"""547""";"""1963949,76""";"""2209""";"""23""";"""2""";"""11""";"""0"""
"""2009""";"""Canal 3""";"""4282""";"""Distribuição Nacional""";"""0""";"""0""";"""0""";"""0""";"""1""";"""1""";"""1""";"""1"""
"""2009""";"""Canal Brasil""";"""1500""";"""Distribuição Nacional""";"""15588""";"""15588""";"""141466,68""";"""141467""";"""1""";"""1""";"""1""";"""1"""
"""2009""";"""Caraminhola Produções Artísticas""";"""6505""";"""Distribuição Nacional""";"""182""";"""182""";"""886""";"""886""";"""1""";"""1""";"""1""";"""1"""
"""2009""";"""Casa Azul""";"""2260""";"""Distribuição Nacional""";"""230""";"""230""";"""975,38""";"""975""";"""2""";"""2""";"""2""";"""2"""
"""2009""";"""Cinegrama""";"""4965""";"""Distribuição Nacional""";"""907""";"""907""";"""4717,5""";"""4718""";"""1""";"""1""";"""1""";"""1"""
"""2009""";"""Cinerama Filmes""";"""810""";"""Distribuição Nacional""";"""239""";"""239""";"""767,26""";"""767""";"""1""";"""1""";"""0""";"""0"""
"""2009""";"""Downtown """;"""4904""";"""Distribuição Nacional""";"""101244""";"""101244""";"""837920,74""";"""837921""";"""9""";"""9""";"""2""";"""2"""
"""2009""";"""Downtown/RioFilme""";"""4904/105""";"""Distribuição Nacional""";"""1935766""";"""1935766""";"""17137715,53""";"""17137716""";"""2""";"""2""";"""2""";"""2"""
"""2009""";"""Downtown/Videofilmes""";"""4904/276""";"""Distribuição Nacional""";"""4119""";"""4119""";"""25713,36""";"""25713""";"""1""";"""1""";"""1""";"""1"""
"""2009""";"""Espaço Filmes """;"""1083""";"""Distribuição Nacional""";"""7919""";"""7919""";"""57765,5""";"""57766""";"""2""";"""2""";"""2""";"""2"""
"""2009""";"""Espaço Itaú de Cinema""";"""14006""";"""Distribuição Nacional""";"""77579""";"""0""";"""1387050""";"""0""";"""2""";"""0""";"""2""";"""0"""
"""2009""";"""Europa""";"""2250""";"""Distribuição Nacional""";"""1929856""";"""111553""";"""17488949,17""";"""778112""";"""30""";"""4""";"""11""";"""1"""
"""2009""";"""Europa/RioFilme""";"""2250/105""";"""Distribuição Nacional""";"""35629""";"""35629""";"""304073,23""";"""304073""";"""1""";"""1""";"""1""";"""1"""
"""2009""";"""Filmes da Mostra""";"""1797/29957""";"""Distribuição Nacional""";"""116023""";"""0""";"""1030667,42""";"""0""";"""10""";"""0""";"""7""";"""0"""
"""2009""";"""Filmes do Estação""";"""592""";"""Distribuição Nacional""";"""164218""";"""84204""";"""1333743,11""";"""632688""";"""27""";"""9""";"""11""";"""4"""
"""2009""";"""Flashstar Filmes""";"""13591""";"""Distribuição Nacional""";"""65019""";"""0""";"""640518,6""";"""0""";"""2""";"""0""";"""1""";"""0"""
"""2009""";"""Fox""";"""256""";"""Distribuição Internacional""";"""29942400""";"""6215189""";"""256396883""";"""49659548""";"""40""";"""10""";"""19""";"""3"""
"""2009""";"""G7 Cinema""";"""5341""";"""Distribuição Nacional""";"""59336""";"""59336""";"""516323,06""";"""516323""";"""2""";"""2""";"""2""";"""2"""
"""2009""";"""Gávea Filmes """;"""7128""";"""Distribuição Nacional""";"""2596""";"""2596""";"""16555,5""";"""16556""";"""1""";"""1""";"""1""";"""1"""
"""2009""";"""Imagem """;"""1935""";"""Distribuição Nacional""";"""6967868""";"""2624229""";"""59948695""";"""22549721""";"""44""";"""6""";"""31""";"""4"""
"""2009""";"""Imovision """;"""11868/173""";"""Distribuição Nacional""";"""545507""";"""62023""";"""4797885,37""";"""522371""";"""61""";"""13""";"""25""";"""5"""
"""2009""";"""Já Filmes""";"""748""";"""Distribuição Nacional""";"""1680""";"""1680""";"""7456,5""";"""7457""";"""2""";"""2""";"""0""";"""0"""
"""2009""";"""Labovideo Produções Artísticas""";"""1070""";"""Distribuição Nacional""";"""706""";"""706""";"""3862""";"""3862""";"""1""";"""1""";"""0""";"""0"""
"""2009""";"""Master Shot Produções""";"""478""";"""Distribuição Nacional""";"""0""";"""0""";"""0""";"""0""";"""1""";"""1""";"""1""";"""1"""
"""2009""";"""Miração Filmes""";"""1860""";"""Distribuição Nacional""";"""6026""";"""6026""";"""41827,75""";"""41828""";"""1""";"""1""";"""1""";"""1"""
"""2009""";"""Mirasul""";"""1273""";"""Distribuição Nacional""";"""104""";"""104""";"""1061""";"""1061""";"""1""";"""1""";"""1""";"""1"""
"""2009""";"""Moviemobz """;"""13613""";"""Distribuição Nacional""";"""234903""";"""37775""";"""2093227,77""";"""319849""";"""18""";"""2""";"""16""";"""2"""
"""2009""";"""Moviemobz/RioFilme""";"""13613/105""";"""Distribuição Nacional""";"""74780""";"""74780""";"""724055,76""";"""724056""";"""3""";"""3""";"""3""";"""3"""
"""2009""";"""O2 Cinema""";"""7087""";"""Distribuição Nacional""";"""591""";"""591""";"""3034""";"""3034""";"""1""";"""1""";"""1""";"""1"""
"""2009""";"""Panda Filmes""";"""941""";"""Distribuição Nacional""";"""10158""";"""6838""";"""49893,23""";"""26667""";"""12""";"""5""";"""7""";"""3"""
"""2009""";"""Pandora """;"""12443/333""";"""Distribuição Nacional""";"""137245""";"""13448""";"""1143180,8""";"""89542""";"""40""";"""11""";"""10""";"""4"""
"""2009""";"""Paramount""";"""169""";"""Distribuição Internacional""";"""8076514""";"""42793""";"""66189369""";"""263675""";"""17""";"""3""";"""10""";"""1"""
"""2009""";"""Paris """;"""11922""";"""Distribuição Nacional""";"""8147077""";"""3238""";"""66210010,61""";"""14678""";"""29""";"""1""";"""18""";"""0"""
"""2009""";"""Pequena Central""";"""1466""";"""Distribuição Nacional""";"""4532""";"""4532""";"""19171,5""";"""19172""";"""2""";"""2""";"""2""";"""2"""
"""2009""";"""Pipa""";"""5467""";"""Distribuição Nacional""";"""5511""";"""5511""";"""22811""";"""22811""";"""6""";"""6""";"""3""";"""3"""
"""2009""";"""Playarte""";"""443""";"""Distribuição Nacional""";"""5368159""";"""284121""";"""46419448,09""";"""2073227""";"""33""";"""3""";"""21""";"""2"""
"""2009""";"""Polifilmes""";"""2550""";"""Distribuição Nacional""";"""7847""";"""7512""";"""45320,54""";"""44106""";"""9""";"""8""";"""3""";"""3"""
"""2009""";"""Polifilmes/Topázio Filmes""";"""2550/1230""";"""Distribuição Nacional""";"""625""";"""625""";"""5018,4""";"""5018""";"""1""";"""1""";"""1""";"""1"""
"""2009""";"""Portfolium Laboratório de Imagens""";"""14495""";"""Distribuição Nacional""";"""221""";"""221""";"""1863""";"""1863""";"""1""";"""1""";"""1""";"""1"""
"""2009""";"""Prana Filmes""";"""1226""";"""Distribuição Nacional""";"""2313""";"""2313""";"""23001,98""";"""23002""";"""1""";"""1""";"""1""";"""1"""
"""2009""";"""Raiz Filmes""";"""11792""";"""Distribuição Nacional""";"""318""";"""318""";"""954""";"""954""";"""1""";"""1""";"""0""";"""0"""
"""2009""";"""Rec Produtores""";"""408""";"""Distribuição Nacional""";"""736""";"""736""";"""2616""";"""2616""";"""1""";"""1""";"""1""";"""1"""
"""2009""";"""República Pureza""";"""1036""";"""Distribuição Nacional""";"""3546""";"""3546""";"""31690""";"""31690""";"""1""";"""1""";"""1""";"""1"""
"""2009""";"""RioFilme""";"""105""";"""Distribuição Nacional""";"""2971""";"""2971""";"""14113,77""";"""14114""";"""7""";"""7""";"""1""";"""1"""
"""2009""";"""Sereia Filmes""";"""13753""";"""Distribuição Nacional""";"""2650""";"""2650""";"""15022,15""";"""15022""";"""1""";"""1""";"""1""";"""1"""
"""2009""";"""Serendip""";"""4626""";"""Distribuição Nacional""";"""556""";"""0""";"""4305""";"""0""";"""1""";"""0""";"""0""";"""0"""
"""2009""";"""Serendip/Art Films""";"""4626""";"""Distribuição Nacional""";"""21603""";"""21603""";"""180751,02""";"""180751""";"""1""";"""1""";"""1""";"""1"""
