"""Ano de Lançamento""";"""Certificado de Produto Brasileiro (CPB)""";"""Título""";"""Direção""";"""Gênero""";"""Empresa Produtora Brasileira Majoritária""";"""UF""";"""Empresa Produtora Minoritária Brasileira""";"""UF""";"""Distribuidora""";"""Máximo de Salas""";"""Renda (R$)""";"""Público """
"""1995""";"""B0400064200000""";"""A Causa Secreta""";"""Sérgio Bianchi""";"""Ficção""";"""Agravo Produções Cinematográficas""";"""SP""";""" -""";""" -""";"""RioFilme""";"""ND""";"""15000""";"""3000"""
"""1995""";"""B0500310700000""";"""Carlota Joaquina, Princesa do Brazil""";"""Carla Camurati""";"""Ficção""";"""Copacabana Filmes e Produções""";"""RJ""";""" -""";""" -""";"""Elimar""";"""33""";"""6430000""";"""1286000"""
"""1995""";"""B0500264600000""";"""Carmen Miranda - Bananas is my Business""";"""Helena Solberg""";"""Documentário""";"""Radiante Filmes""";"""RJ""";""" -""";""" -""";"""RioFilme""";"""ND""";"""90000""";"""15470"""
"""1995""";"""-""";"""Cinema de Lágrimas""";"""Nelson Pereira dos Santos""";"""Ficção""";"""Meta Vídeo Produções""";"""RJ""";""" -""";""" -""";"""RioFilme""";"""ND""";"""7500""";"""1575"""
"""1995""";"""B0300012900000""";"""Efeito Ilha""";"""Luiz Alberto Pereira""";"""Ficção""";"""Lapfilme""";"""SP""";""" -""";""" -""";"""RioFilme""";"""ND""";"""15000""";"""3000"""
"""1995""";"""B0500311400000""";"""Louco por Cinema""";"""André Luiz Oliveira""";"""Ficção""";"""Asacine Produções""";"""DF""";""" -""";""" -""";"""RioFilme""";"""ND""";"""60000""";"""12991"""
"""1995""";"""B0700675000000""";"""Menino Maluquinho - O Filme""";"""Helvécio Ratton""";"""Ficção""";"""Grupo Novo de Cinema e TV""";"""RJ""";""" -""";""" -""";"""S. Ribeiro/RioFilme""";"""31""";"""1532509""";"""397023"""
"""1995""";"""B1101392800000""";"""O Mandarim""";"""Julio Bressane""";"""Ficção""";"""Julio Bressane""";"""RJ""";""" -""";""" -""";"""RioFilme""";"""ND""";"""35000""";"""7616"""
"""1995""";"""B0500309200000""";"""O Quatrilho""";"""Fábio Barreto""";"""Ficção""";"""Filmes do Equador""";"""RJ""";""" -""";""" -""";"""S. Ribeiro""";"""64""";"""4513302""";"""1117154"""
"""1995""";"""B0500434300000""";"""Perfume de Gardênia""";"""Guilherme de Almeida Prado""";"""Ficção""";"""Star Filmes """;"""SP""";""" -""";""" -""";"""RioFilme""";"""ND""";"""55000""";"""9077"""
"""1995""";"""B0500277600000""";"""Sábado""";"""Ugo Giorgetti""";"""Ficção""";"""Iguana Filmes""";"""SP""";""" -""";""" -""";"""Mais Filmes""";"""ND""";"""906750""";"""155000"""
"""1995""";"""-""";"""Super Colosso""";"""Luiz Ferré""";"""Ficção""";"""Play Vídeo Produções para Cinema e Televisão""";"""SP""";""" -""";""" -""";"""Paris""";"""216""";"""506027""";"""154762"""
"""1995""";"""B0500310300000""";"""Terra Estrangeira""";"""Daniela Thomas/Walter Salles""";"""Ficção""";"""Videofilmes""";"""RJ""";""" -""";""" -""";"""RioFilme""";"""ND""";"""500000""";"""112840"""
"""1995""";"""B0400073200000""";"""Yndio do Brasil""";"""Sylvio Back""";"""Documentário""";"""Usina de Kyno""";"""RJ""";""" -""";""" -""";"""RioFilme""";"""ND""";"""15000""";"""3000"""
"""1996""";"""B0400061500000/
B0400085400000/
B0400057300000/
B0400051000000""";"""A Felicidade É...""";"""José Roberto Torero/Cecílio Neto/Jorge Furtado/José Pedro Goulart""";"""Ficção""";"""Casa de Cinema de Porto Alegre/Superfilmes/Zeppelin Filmes """;"""RS/SP/RS""";""" -""";""" -""";"""RioFilme""";"""ND""";"""15000""";"""3000"""
"""1996""";"""B0400052400000""";"""As Meninas""";"""Emiliano Ribeiro""";"""Ficção""";"""Ipê Artes""";"""RJ""";""" -""";""" -""";"""RioFilme""";"""3""";"""49957""";"""13527"""
"""1996""";"""-""";"""Cassiopéia""";"""Clóvis Vieira""";"""Animação""";"""N.D.R. Filmes Produções""";"""SP""";""" -""";""" -""";"""RioFilme""";"""34""";"""60359""";"""14224"""
"""1996""";"""B0500289500000""";"""Como Nascem os Anjos""";"""Murilo Salles""";"""Ficção""";"""Cinema Brasil Digital""";"""RJ""";""" -""";""" -""";"""RioFilme""";"""2""";"""200000""";"""41945"""
"""1996""";"""B0500310500000""";"""Corisco e Dadá""";"""Rosemberg Cariry""";"""Ficção""";"""Cariri Filmes""";"""CE""";""" -""";""" -""";"""RioFilme""";"""ND""";"""60000""";"""13525"""
"""1996""";"""B0500311200000""";"""Doces Poderes""";"""Lucia Murat""";"""Ficção""";"""Taiga Filmes e Vídeo""";"""RJ""";""" -""";""" -""";"""RioFilme""";"""ND""";"""60000""";"""13809"""
